content,true_label,predicted_label,model,prompt_method
"<title>University of Cambridge Pharmacology Home Page</title>

<h1><img align=""top"" src=""cuarmssmall.gif""/> University of Cambridge</h1>

# Department of Pharmacology

Tennis Court Road  

CAMBRIDGE CB2 1QJ  

Tel: (01223) 334000  

Fax: (01223) 334040  

##  Research Groups

*    [ Drug Design Group](DDG/ddg.html)

---

##  Departmental Seminars

*    [ Tea Clubs](tea_clubs.html) (restart October)

---

##  External Information and Links

*    [IUPHARInternational Union of Pharmacology](http://iuphar.pharmacology.unimelb.edu.au/)<li> <a href=""http://cblmsu.leeds.ac.uk/WWW/Lprojcts/pharml/www3.html""> The
Pharmacology Higher Education Network</a><li> <a href=""http://www.bio.cam.ac.uk/""> School of Biology WWW
server</a>
<li> <a href=""http://www.cam.ac.uk/""> Computing Service WWW server</a>
<li> <a href=""http://golgi.harvard.edu/biopages.html""> The World-wide
Web Virtual Library: Biosciences</a>
<li> <a href=""http://sunsite.doc.ic.ac.uk/public/""> 
Sunsite Northern Europe at Imperial College</a>
</li></li></li></li></li>

---

<address> Tim.Perkins@ddg.phar.cam.ac.uk </address>",True,False,gpt-3.5-turbo,chain_of_thought
"<title>Sheep Test</title>

# Sheep Test

This is a very simple test about sheep. 

<form action=""/htbin/sheep-test"" method=""GET"">

What noise does Stuart's sheep make? <input name=""ENTRY""/> <p>

To submit the answer, press this button: <input type=""submit"" value=""Submit Query""/>. <p>
</p></p></form>",True,True,gpt-3.5-turbo,chain_of_thought
"<a name=""Tweezerhead_Rebellion,_The""></a>

<title>The Tweezerhead Rebellion</title>

<center>
<h1>
Tweezerhead Rebellion, The
</h1>
<a href=""/IUMA-2.0/ftp/volume2/Tweezerhead_Rebellion,_The/Tweezerhead_Rebellion,_The.jpg""><img border=""2"" height=""125"" src=""/IUMA-2.0/ftp/volume2/Tweezerhead_Rebellion,_The/sm-Tweezerhead_Rebellion,_The.gif"" width=""125""/></a>
<p><br/></p>
</center>

<center>
<i><font size=""5"">V. S. I Love You</font></i><br/>
<a href=""/IUMA-2.0/ftp/volume2/Tweezerhead_Rebellion,_The/mono-excerpt-V._S._I_Love_You.au""><img align=""MIDDLE"" alt=""[AU Excerpt]"" border=""0"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-au-excerpt.gif""/></a>
<a href=""/IUMA-2.0/ftp/volume2/Tweezerhead_Rebellion,_The/mono-excerpt-V._S._I_Love_You.mp2""><img align=""MIDDLE"" alt=""[MPEG Mono Excerpt]"" border=""0"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-mpeg-excerpt.gif""/></a>
<a href=""/IUMA-2.0/ftp/volume2/Tweezerhead_Rebellion,_The/stereo-V._S._I_Love_You.mp2""><img align=""MIDDLE"" alt=""[MPEG Stereo]"" border=""0"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-mpeg-stereo.gif""/></a>
<p>
<font size=""2"">(Excerpt 120k, 180k / Full song 4 mins, 5.92M)</font></p>
</center>

<center>
<font size=""2"">
<a href=""/IUMA-2.0/olas/genre/PO_017.html#Tweezerhead_Rebellion,_The"">Pop</a></font>
</center>

<center>
<img alt=""-----------------------------------------------------------------"" height=""11"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-hr.gif"" width=""547""/>
<center>
<img alt=""[ "" height=""40"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-lft_end.gif"" width=""36""/><a href=""http://www.iuma.com/iuma-bin/view-comment.pl?Tweezerhead_Rebellion,_The""><img alt=""|| Comments &amp; Reviews"" border=""0"" height=""40"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-comments.gif"" width=""95""/></a><a href=""mailto:Mdmeloan@aol.com""><img alt=""|| Email"" border=""0"" height=""40"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-email.gif"" width=""95""/></a><img alt="" ]"" height=""40"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-rt_end.gif"" width=""36""/>
<br/>
</center>
</center>

  

<center><h1>The Tweezerhead Rebellion</h1><br/>
P.O. Box 3670<br/>
Manhattan Beach<br/>
California 90266<br/>
Mdmeloan@aol.com<br/>
310.395.8644<br/> </center>

<center>
<a href=""/IUMA/ftp/music/Tweezerhead_Rebellion,_The/band-Tweezerhead_Rebellion,_The.jpg"">
<img align=""Center"" height=""78"" src=""/IUMA/ftp/music/Tweezerhead_Rebellion,_The/band-Tweezerhead_Rebellion,_The.gif"" width=""190""/>
</a>
</center>

__The Tweezerhead Rebellion__ is a satire, rock and roll, and spoken word trio. __Frederick Kleffel__ programs drums and synthesizers, __Dana Massie__ plays guitar, and __Michael Meloan__ writes lyrics and performs vocals. Kleffel and Massie are computer engineers at E-Mu Systems, a manufacturer of high end music synthesizer electronics. They live in Santa Cruz, California. Meloan is a writer in Los Angeles, whose short stories and articles have appeared in Buzz Magazine, and many other publications. He has also written dramatic material for Joe Frank's National Publi",True,True,gpt-3.5-turbo,chain_of_thought
"<!-- received=""Mon May 16 05:16:52 1994 CDT"" -->
<!-- sent=""Mon, 16 May 94 10:25:08 BST"" -->
<!-- name=""Andrew Beckett"" -->
<!-- email=""abeckett@fmlrnd.co.uk"" -->
<!-- subject=""Re: wolves and sheep on the inet"" -->
<!-- id=""9405160925.AA20316@neptune.fmlrnd.co.uk"" -->
<!-- inreplyto=""wolves and sheep on the inet"" -->

<title>Bugtraq Archives prior to 1995: Re: wolves and sheep on the inet</title>

# Re: wolves and sheep on the inet

Andrew Beckett (_abeckett@fmlrnd.co.uk_)  

_Mon, 16 May 94 10:25:08 BST_

*    __Messages sorted by:__ [\[ date \]](date.html#397)[\[ thread \]](index.html#397)[\[ subject \]](subject.html#397)[\[ author \]](author.html#397)<!-- next=""start"" --><li> <b>Next message:</b> <a href=""0398.html"">Eduard Vopicka: ""Major passwd hole in SunOS (???!!!)""</a><li> <b>Previous message:</b> <a href=""0396.html"">Gene Spafford: ""Re: trojans on ftp sites""</a>
<li> <b>Maybe in reply to:</b> <a href=""0372.html"">Timothy Newsham: ""wolves and sheep on the inet""</a>
<!-- nextthread=""start"" -->
</li></li></li>

<!-- body=""start"" -->

<pre>
In article DAA05138@gravity.science.gmu.edu, Tim Scanlon &lt;tfs@science.gmu.edu&gt; () writes:
&gt; 
&gt; 	People are neither wolves nor sheep, but they are apperently rigid,
&gt; intolerant and close minded. This kind of presumtion is both foolish and 
&gt; dangerous. The world is a complex place, and while making analogies offers
&gt; a tool to simplify it, it also simplifies it. Too often these sorts of
&gt; debates fall victim to sophmoric logical faults, most commonly those 
&gt; associated with ambiguity &amp; equivocation. As well it seems the argumentative
&gt; fallacies seem especialy prone to abuse, particularly Argumentum ad Hominem &amp;
&gt; &amp; False Cause fallacies. 
&gt; 

lots of pretentious crap deleted

&gt; The world IS a complex place. False arguments on the net DO waste
&gt; bandwith.
&gt; 
&gt; 			Tim Scanlon
&gt; 
 
It's all very well proposing that we all give thoroughly rigorous arguments, but
as you say, most of us do not have a classical education. Therefore I suggest
you dont waste bandwidth with the dictionary that you swallowed, or waste our time
having to read this verbose twaddle.

Andrew Beckett.

***********************************************************************
* Andrew Beckett                  *                                   *
* Senior Design Engineer          *                                   *
* Fujitsu Microelectronics Ltd    *                                   *
* Highway House                   * phone    : (0628) 71116           *
* Norreys Drive                   * fax      : (0628) 773990          *
* Maidenhead. Berks SL6 4BW       * email    : a.beckett@fmlrnd.co.uk *
***********************************************************************
</pre>

<!-- body=""end"" -->

<!-- next=""start"" -->*    __Next message:__ [Eduard Vopicka: ""Major passwd hole in SunOS (???!!!)""](0398.html)<li> <b>Previous message:</b> <a href=""0396.html"">Gene Spafford: ""Re: troj",True,False,gpt-3.5-turbo,chain_of_thought
"<a name=""Black_Rain""></a>

<title>Black Rain</title>

<center>
<h1>
<img alt=""Black Rain"" src=""/IUMA-2.0/ftp/volume3/Black_Rain/sm-logo-Black_Rain.gif""/>
</h1>
</center>

<center>
<i><font size=""5"">Dyin' For The Cause</font></i><br/>
<a href=""/IUMA-2.0/ftp/volume3/Black_Rain/mono-excerpt-Dyin'_For_The_Cause.au""><img align=""MIDDLE"" alt=""[AU Excerpt]"" border=""0"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-au-excerpt.gif""/></a>
<a href=""/IUMA-2.0/ftp/volume3/Black_Rain/mono-excerpt-Dyin'_For_The_Cause.mp2""><img align=""MIDDLE"" alt=""[MPEG Mono Excerpt]"" border=""0"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-mpeg-excerpt.gif""/></a>
<a href=""/IUMA-2.0/ftp/volume3/Black_Rain/mono-Dyin'_For_The_Cause.mp2""><img align=""MIDDLE"" alt=""[MPEG Mono]"" border=""0"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-mpeg-mono.gif""/></a>
<a href=""/IUMA-2.0/ftp/volume3/Black_Rain/stereo-Dyin'_For_The_Cause.mp2""><img align=""MIDDLE"" alt=""[MPEG Stereo]"" border=""0"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-mpeg-stereo.gif""/></a>
<p>
<font size=""2"">(Excerpt 121k, 182k / Full song 5 mins, 3.14M, 5.86M)</font></p>
</center>

<center>
<font size=""2"">
<a href=""/IUMA-2.0/olas/genre/BL_001.html#Black_Rain"">Blues</a>, 
<a href=""/IUMA-2.0/olas/genre/HR_001.html#Black_Rain"">Hard Rock</a>, 
<a href=""/IUMA-2.0/olas/genre/RR_004.html#Black_Rain"">Rock</a></font>
</center>

<center>
<img alt=""-----------------------------------------------------------------"" height=""11"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-hr.gif"" width=""547""/>
<center>
<img alt=""[ "" height=""40"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-lft_end.gif"" width=""36""/><a href=""http://www.iuma.com/iuma-bin/view-comment.pl?Black_Rain""><img alt=""|| Comments &amp; Reviews"" border=""0"" height=""40"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-comments.gif"" width=""95""/></a><img alt="" ]"" height=""40"" src=""/IUMA-2.0/imgs/olas/bandage/bdg-butt-rt_end.gif"" width=""36""/>
<br/>
</center>
</center>

  

<center>
<img alt""bio""="""" src=""/IUMA/ftp/music/Black_Rain/logo-Black_Rain.gif""/>
</center>

<font size=""+4"">T</font>

he five members of Black Rain have been together 
since June, 1989.  As a collaborative group, they have written several 
hundred songs.  While Black Rain's current play list consists of forty of 
their strongest tunes, they are continually writing and performing new 
material.

One of the band's most noted performances took place at the __California Mid-State Fair__ in August, 1993, where they opened up for the __Damn Yankees__, featuring __Ted Nugent__ and __Tommy Shaw__. Other major California venues have included __Dream Street__ in San Diego; __Marquee__ in Westminster and the __SLO Brew Company__ in San Luis Obispo.

Black Rain's high energy live performances and area radio play have created an ever increasing consumer demand for their recorded music. Regional Wherehouse record stores continually sell through inventories of the band's latest LP titled ""Black Rain"". Black Rain's unique sound has been described as Rock with a Blues tinge.

Th",True,True,gpt-3.5-turbo,chain_of_thought
"<html>
<header>
<!-- -->
<!-- Thank you for viewing our source.  All of the publicly-accessible-->
<!-- documents on our server are, as with any document under the Berne -->
<!-- Convention, copyrighted.  Duplication is prohibited, with the   -->
<!-- express exception of caching WWW servers.  Note that linking to   -->
<!-- us, or using the links we list elsewhere, is not considered  -->
<!-- duplication. -->
<!-- -->
<!--webmaster@mole.uvm.edu -->
<title>UVM: The University of Vermont</title>
</header>
<body>
<table border="""">
<th colspan=""2""><h1>The University of Vermont</h1></th>
<tr>
<th><a href=""/aboutuvm/Welcome.html"">Welcome to UVM!<br/></a></th>
<th rowspan=""6""><a href=""/webmaster/photo.html""><img alt=""(Campus Photos)"" src=""http://mole.uvm.edu/webmaster/home0.gif""/><br/></a></th>
</tr>
<tr><th><a href=""uvmdetail.html"">UVM in Detail<br/></a></th></tr>
<tr><th><a href=""directory.html"">UVM Student/Faculty/Staff Directory<br/></a></th></tr>
<tr><th><a href=""uvmspecial.html"">UVM Special Projects<br/></a></th></tr>
<tr><th><a href=""uvmnew.html"">What's New?<br/></a></th></tr>
<tr><th><a href=""explore.html"">Exploring the World Wide Web<br/></a></th></tr>
</table>
<hr/>
<img align=""left"" alt=""Copyright 1995 University of Vermont and others. All rights reserved."" src=""/webmaster/www.uvm.edu.gif""/>
<h6>Brought to you through the courtesy
of  <a href=""/cit/"">Computing and Information Technology, University of
Vermont.</a>
Copyright © 1995 The University of Vermont and others.  All rights reserved.</h6>
<address>
<a href=""mailto:webmaster@uvm.edu"">webmaster@uvm.edu</a>
6-26-95</address>
</body>
</html>",True,False,gpt-3.5-turbo,chain_of_thought
"<title>Malaria Database</title>

<h1><center>MALARIA DATABASE</center></h1>

<center><img align=""middle"" alt=""WHO logo in black and white"" src=""whoart.gif""/></center>

<h2><center>Funded by:
UNDP/World Bank/WHO Special Programme for Research and Training in Tropical Diseases</center><p>
<center>Maintained at:
The Department of Microbiology, Monash University and The Walter and Eliza Hall Institute of Medical Research</center></p></h2>
<ul><h3><dl><dt><a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/"">Anonymous FTP site</a></dt></dl></h3><dd>This site contains a number of text files of nucleotide and protein sequence data. In one directory <a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/current_version"">directory</a> I list files that were included in the last mailout. In another <a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/new_since_last_mailout"">directory</a> are files added since then. <br/>If you use the links below to grab any file, be aware that you will be getting the version sent in the last mailout, so you just may want to check the <a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/new_since_last_mailout"">new directory </a>to see if there is anything later. The files exist in several different formats:   
<ul><li> <a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/current_version/annotnuc.dat"">Annotated Nucleotide sequences in EMBL format.</a> Beware that this is a <b>very large file</b> occupying about 4 Mb at last count. 
<li><a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/gcg"">Annotated Nucleotide sequences in GCG format.</a> Note: this directory contains thousands of files and takes a while to list in your web browser.
<li><a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/current_version/pcnuc.dat"">Unannotated nucleotide sequences suitable for importation into PC programs</a>
<li><a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/current_version/annotpro.dat"">Annotated Protein Sequences in EMBL format</a>
<li><a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/current_version/pcpro.dat"">Unannotated protein sequences suitable for importation into PC programs</a>
<li><a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/current_version/plasmest.dat"">List of expressed sequence tags of Plasmodial genes</a> These are included in <a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/gcg/"">annotnuc.dat</a> but are separately listed here with BLAST search results for each EST. 
</li></li></li></li></li></li></ul><p>
<dl><dt>Malaria Genome Information
<dd>This <a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/current_version/chrprobe.lis"">list</a> tells you about known chromosome markers for the 14 chromosomes of P. falciparum. The list is cross-referenced to the database and the <a href=""ftp://ftp.wehi.edu.au/pub/biology/who_dbase/current_version/probes.lis"">probe list</a> so that you can identify a researcher who can supply you with an appropriate probe</dd></dt></dl><p>
<dl><dt>Malaria strain information
<d",True,False,gpt-3.5-turbo,chain_of_thought
"<html>
<head>
<title>Department of Laboratory Medicine &amp; Pathology</title>
</head>
<body background=""000p0299.gif"">
<center><table border=""5""><tr><td><img alt=""LMPlogo"" height=""190"" src=""000p026n.gif"" width=""610""/></td></tr></table></center><p>
<center><b><h1>Department of Laboratory Medicine &amp; Pathology, University of Alberta</h1></b></center><hr/>

Welcome to the Home Page of the Department of Laboratory Medicine &amp; Pathology in the Faculty of Medicine, created by <a href=""000p002i.htm""><b>Michele Hales</b></a> at the

<a href=""http://web.cs.ualberta.ca/UAlberta.html""> <b>University of Alberta</b></a> in Edmonton, Alberta, Canada.<p>
<em>Please Note</em> This Home Page is under development and I apologize for any information that is not currently available.  If there is specific information you would like to see available or you wish to critique the current document please e-mail me at mhales@gpu.srv.ualberta.ca.<em> Thank You! </em>
<hr/>
<h3><b>Information About the Department of Laboratory Medicine &amp; Pathology</b></h3>
<ul>
<li><a name=""1""></a><a href=""000p0026.htm""><b>Overview</b></a>
<li><a name=""2""></a><a href=""000p0027.htm""><b>Our Address</b></a>
<li><a name=""3""></a><a href=""000p0028.htm""><b>Location &amp; Layout</b></a></li></li></li></ul>
<hr/>
<h3><b>Personnel</b></h3>
<ul>
<li><a name=""4""></a><a href=""000p0029.htm""><b>Faculty</b></a>
<li><a name=""5""></a><a href=""000p002a.htm""><b>Staff</b></a>
<li><a name=""6""></a><a href=""000p002l.htm""><b>Residents</b></a>
<li><a name=""7""></a><a href=""000p002m.htm""><b>Graduate Students</b></a></li></li></li></li></ul>
<hr/>
<h3><b>Divisions of Laboratory Medicine &amp; Pathology</b></h3>
<ul>
<li><a name=""8""></a><a href=""000p002e.htm""><b>Anatomical Pathology, Division of</b></a>
<li><a name=""9""></a><a href=""000p002f.htm""><b>Medical Biochemistry, Division of</b></a>
<li><a name=""10""></a><a href=""000p002g.htm""><b>Hematology, Division of</b></a>
<li><a name=""11""></a><a href=""000p002n.htm""><b>Medical Laboratory Science, Division of</b></a>
</li></li></li></li></ul>
<hr/>
<h3><b>Academic</b></h3>
<ul>
<li><a name=""13""></a><a href=""000p002j.htm""><b>Research Activities &amp; Groups</b></a>
<li><a name=""14""></a><a href=""000p002k.htm""><b>Technical Reports &amp; Published Papers</b></a>
<li><a name=""15""></a><a href=""000p002d.htm""><b>Resident Programs</b></a>
<li><a name=""16""></a><a href=""000p002c.htm""><b>Graduate Studies</b></a> Information
<li><a name=""17""></a><a href=""000p002b.htm""><b>Internal Medicine PBL Course</b></a></li></li></li></li></li></ul>
<hr/>
<h3><b>Resources</b></h3>
<ul>
<li><blink><b><i>Physicians' Online</i></b></blink> is a program which provides inexpensive access to electronic medical information services for every physician.  It provides unlimited, free use of reference services, including MEDLINE, Physicians GenRx, GenRx Drug Interactions, Clinical Alerts, the Personal Prescribing Center and QMR.  For your copy of POL please <a href=""ftp://ftp.his.path.cam.ac.uk/pub/synap",True,True,gpt-3.5-turbo,chain_of_thought
"<html><head>
<title> Kuntz group welcome page</title>
</head>
<body>
<img alt=""Kuntz Group at UCSF"" src=""images/kuntz_hdr4.gif""/>
<h1>WELCOME TO THE KUNTZ GROUP!</h1>
<hr/>
<p>
The Kuntz lab consists of two groups: a ""dockers"" group, which is
working on issues in structure-based drug design, and an NMR group.<p>
The main focus of the dockers group is the development of tools for the
discovery of lead compounds once the 3D structure of a target receptor
is known.  Our best known tool is the program <a href=""http://www.cmpharm.ucsf.edu/kuntz/dock.html"">DOCK</a>, which searches
databases of chemical structures for potential lead compounds for a
particular receptor.  We've also been developing  BUILDER, for design
of novel compounds to interact with particular receptor, and are
experimenting with QSAR applications of DOCK.<p>
<hr/>
<h2><a href=""dockv35.html"">DOCK 3.5</a> is now available!</h2><p>
<hr/>
<h2>More information about us</h2>
<ul>
<li> The <a href=""dock.html"">DOCK page</a>
<li> <a href=""dockv35.html"">New Features in DOCK 3.5</a>
<li> BUILDER page
  <li> List of current <a href=""refs.html"">references</a> from dockers group
  <li> <a href=""kuntz_people.html"">Who's in the Kuntz Group?</a>
</li></li></li></li></li></ul>
<hr/>
<h2><a href=""//cgl.ucsf.edu/ucsfwebsrvrs.html"">Other UCSF www links </a></h2>
<p>
<hr/>
<address> <a href=""http://www.cmpharm.ucsf.edu/~droe/diana.html"">droe@cgl.ucsf.edu</a> (Diana Roe) </address>
<!-- hhmts start -->
 Tue Feb 21 1995
<!-- hhmts end -->
</p></p></p></p></p></body></html>",True,False,gpt-3.5-turbo,chain_of_thought
"<html>
<title>American Academy of Pediatric Dentistry</title>
<body background=""Images/sandlogo.gif"">
<center><img src=""Images/APDBanr2.gif"" width=""462""/><br/>
<hr align=""CENTER"" size=""5"" width=""462""/>
<h1>Welcome to AAPD Online!</h1>
<h2><i>Healthy Smiles - Healthy Children</i></h2>
<h4>The American Academy of Pediatric Dentistry is the professional organization<br/>whose dentist members are specially trained to provide both primary and<br/>comprehensive preventive and therapeutic oral health care for infants,<br/>children, adolescents, and patients with special health care needs.</h4>
<h5><i>Updated: March 11, 1996</i></h5><br/>
<hr/></center>
<blockquote><blockquote><h4><img align=""left"" src=""Images/BOOK.GIF""/><i>Don't miss the theme section on pediatric AIDS in the  <br/>March/April issue of the </i><a href=""Pub.html#Pediatric Dentistry Journal"">Pediatric Dentistry <i>journal.</i></a></h4></blockquote></blockquote>
<center>
<hr/>
<br/>
<img height=""25"" src=""Images/Topics2.gif"" width=""462""/><br/>
<img height=""7"" src=""Images/spacer.gif"" width=""462""/><br/>
<a href=""AnnSess.html""><img align=""middle"" border=""0"" src=""Images/AnnSessbut.gif""/></a><br/>
<img height=""7"" src=""Images/spacer.gif"" width=""462""/><br/>
<a href=""Consum.html""><img align=""middle"" border=""0"" height=""80"" src=""Images/Consu.gif"" width=""228""/></a>
<a href=""Media.html""><img align=""middle"" border=""0"" height=""80"" src=""Images/MediaBanr.gif"" width=""228""/></a><br/>
<img height=""7"" src=""Images/spacer.gif"" width=""468""/><br/>
<a href=""Membr.html""><img align=""middle"" border=""0"" height=""80"" src=""Images/MembBanr.gif"" width=""228""/></a>
<a href=""Pub.html""><img align=""middle"" border=""0"" height=""80"" src=""Images/PubBanr.gif"" width=""228""/></a><br/>
<img height=""7"" src=""Images/spacer.gif"" width=""468""/><br/>
<a href=""Links.html""><img align=""middle"" border=""0"" height=""80"" src=""Images/LinksBanr.gif"" width=""228""/></a>
<a href=""Tips.html""><img align=""middle"" border=""0"" height=""80"" src=""Images/TipsBanr.gif"" width=""228""/></a><br/>
<img height=""7"" src=""Images/spacer.gif"" width=""468""/><br/>
<a href=""New.html""><img align=""middle"" border=""0"" height=""40"" src=""Images/WNew.gif"" width=""228""/></a>
<a href=""Advertis.html""><img align=""middle"" border=""0"" height=""40"" src=""Images/Advert.gif"" width=""228""/></a><br/>
</center>
<pre><b><font size=""2""><center><a href=""AnnSess.html"">[ANNUAL SESSION]</a> <a href=""Consum.html"">[PARENTS]</a> <a href=""Media.html"">[MEDIA]</a> <a href=""Membr.html"">[MEMBERS]</a> <a href=""Pub.html"">[PUBLICATIONS]</a> <a href=""Links.html"">[LINKS]</a> <a href=""Tips.html"">[HELP]</a><br/><a href=""New.html"">[WHAT'S NEW!]</a> <a href=""Advertis.html"">[ADVERTISING]</a></center></font></b></pre>
<hr align=""CENTER"" size=""3"" width=""462""/>
<font size=""3""><center>For a faster ""TEXT ONLY"" representation of this site, click <a href=""UnderConst.html"">HERE.</a></center>
</font><hr align=""CENTER"" size=""3"" width=""462""/>
<center>
<font size=""2""><b><a href=""mailto:aapdinfo@aapd.org"">Questions, comments, or problems</a> rega",False,False,gpt-3.5-turbo,chain_of_thought
