text,label
Mental Health an Emerging Crisis of COVID Pandemic,0
COVID-19 May Have Spread in China in August,0
"Novel Coronavirus a 'Tremendous Public Health Threat,' CDC Says",0
"COVID-19: 'Striking' Rates of Anxiety, Depression in HCPs",0
Black Atlanta COVID-19 Patients Hospitalized More,0
"Valley County, Montana, mandated pink arm bands for residents who had submitted to quarantine protocol.",1
Association Between Social Vulnerability and a County's Risk for Becoming a COVID-19 Hotspot - United States,0
“Wisconsin Republicans have not passed a single bill in 6 months.”,0
"WHO guidelines to help European countries maintain essential health services during the COVID 19 pandemic""",0
"COVID-19 Is Creating Fear, Frustration With Soldiers, Sailors",0
Hiring In-home services or repairs,0
Test for Current Infection,0
Four U.S. Counties Remain COVID-free,0
Worker Safety and Support,0
Winter flu-like illnesses could have been COVID-19,0
Half of Coronavirus Infections May Be Asymptomatic,0
Rising Hospitalization Number for Kids in Florida,0
Why Plastic Face Shields Aren’t a Safe Alternative to Cloth Masks,0
Husband Holds Sweet Sign to Support Wife in Chemo,0
A series of statements by Joe Biden claiming he called for action before he did,1
"Resist Using Pot, Alcohol to Ease Fears During COVID-19 Outbreak",0
“Clearly the Obama administration did not leave any kind of game plan for something like this.”,1
Dr. Anthony Fauci Òwas telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.Ó,1
Employer Information for Heat Stress Prevention during the COVID-19 Pandemic,0
Infection Prevention and Control Assessment Tool for Nursing Homes Preparing for COVID-19,0
"Boil weed and ginger for COVID-19 victims, and the virus will vanish.",1
ÒThe Obama administration made a decision on testing that turned out to be very detrimental to what weÕre doingÓ on the coronavirus.,1
Screening Clients for COVID-19 at Homeless Shelters or Encampments,0
Updated Guidance on Evaluating and Testing Persons for Coronavirus Disease 2019 (COVID-19),0
Delayed Immune Responses May Drive COVID-19 Mortality Rates Among Men and the Elderly,0
Steps Healthcare Facilities Can Take Now to Prepare for Coronavirus Disease 2019 (COVID-19),0
"With Precautions, Unlikely Baby Gets COVID from Mom",0
How to make face masks for (coronavirus) covid-19,0
"Flu Shot No Match for 'B' Strain, Season Rages On",0
"COVID-19 Daily: Stroke in Young Adults, Test Safety Issues",0
"COVID-19: Surgical masks may help, but not as first line of defense",0
Here’s Why COVID-19 Is Much Worse Than the Flu,0
French health care workers are putting on defective Chinese-made protective gowns.,1
America's Prisons Are Breeding Grounds for COVID,0
Does Your Blood Type Increase Your Risk for Coronavirus?,0
What the CDC Says About Staying Safe This Holiday Season,0
"COVID-19 Daily: New Study Tracks US Response, Hospital Inequities",0
Nigeria resumes Yellow fever vaccination with safety measures necessary for the COVID-19 context,0
Florida's Positivity Rate Inches Downward,0
Cleaning and Disinfecting,0
COVID-19: Mental Illness the 'Inevitable' Next Pandemic?,0
Texas a COVID Hotspot as State Reopens,0
Giroir Urges Caution Despite Dip in New Cases,0
Sharing and Shifting Tasks to Maintain Essential Healthcare During COVID-19 in Low Resource,0
ÒThereÕs magically already a vaccine available.Ó,1
"Headache and fever: Causes, treatment, and prevention",0
"First ever State of the World’s Nursing report launched amid COVID19 pandemic""",0
Pets Helped People Cope During Pandemic: Study,0
Protect Your Family,0
Considerations for Non-emergency Vehicle Transportation for Tribal Communities During COVID-19,0
Stop the Spread of Rumors,0
Commentary: Eyewitness: Shanghai Life in the Shadow of COVID-19,0
"COVID-19: Social distancing, drug trials offer hope",0
Here’s What to Know About the COVID-19 Mortality Rate as Cases Climb,0
Interim Infection Prevention and Control Recommendations for Healthcare Personnel During the Coronavirus Disease 2019 (COVID-19) Pandemic,0
Department of Homeland Security official says illegal border crossings may spread coronavirus.,1
"How long does a sore throat last? Causes, duration, and",0
Broadway Shutdown Extended Through Early 2021,0
COMMENTARY: COVID-19 Data Dives: Volunteering to Get Coronavirus?,0
"Obama knocks GOP’s stance on preexisting conditions during pandemic""",0
COVID Outbreak Among U of Wisconsin Football Team,0
COVID-19: Study shows virus can infect heart cells in lab dish,0
COVID-Linked Syndrome Seen in Kids Found in Adults,0
"AstraZeneca, J & J Resume Vaccine Trials",0
Manufacturing Workers and Employers,0
Coronavirus patients are being Òcremated aliveÓ in China.,1
“The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.”,1
"WHO Director-General calls on G20 to Fight, Unite, and Ignite against COVID-19""",0
The Centers for Disease and Prevention has reduced the number of COVID-19 cases recorded in the U.S.,1
Why Shrinking Your Social Bubble May Be Necessary Right Now,0
Black Doctors' Group Creates Panel to Vet Vaccine,0
Difficulties in communicating COVID-19 science made clear in,0
What Utility Workers Need to Know about COVID-19,0
It’s Too Early to Know If Moderna’s COVID-19 Vaccine Will Work After Initial Tests,0
CDC COVID-19 Global Response,0
Coronavirus (COVID-19) test cost: Different options,0
"COVID-19 Daily: Encephalitis Case Report, Silent Spreaders",0
Justice Ginsberg Joins Court Call from Hospital,0
Of the Trump administrationÕs European travel restrictions that exempt the U.K.,1
Pictures and reports of Òempty hospitalsÓ prove COVID-19 spread is Òfake crisis for real government planned agendas.Ó,1
"Coronavirus Daily Digest: April 1, 2020",0
Guidance for Cleaning and Disinfecting,0
Test for Current Infection,0
Vaccine May Be Cleared Within Weeks of Trial Data,0
"COVID-19: An Opportunity, Challenge for Addiction Treatment",0
COVID-19: What Will Happen to Physician Income This Year?,0
"WHO works with countries from the South-East Asia Region""",0
Coronavirus may spread faster than WHO estimate,0
U.S. Government to Increase PPE Shipments to Nursing Homes,0
"Retest for COVID-19 4-Plus Weeks After Symptoms First Appear to Curb Infection Risk, Say Researchers",0
Compounds Halt SARS-CoV-2 Replication by Targeting Key Viral Enzyme,0
Wearing a face mask caused a 19-year-old grocery store worker to be hospitalized for an lung infection due to breathing in her own carbon dioxide and bacteria.,1
Domestic Animals Link Virus Spread Among Humans and Wildlife,0
CDC to Conduct Antibody Testing in Atlanta Area,0
Emergency Department Visits Percentage of Visits for COVID-19-Like Illness (CLI) or Influenza-like Illness (ILI),0
Could Mom's Thyroid Levels Influence ADHD in Kids?,0
UN welcomes nearly $1 billion in recent pledges - to bolster access to lifesaving tests,0
NIH-funded study to investigate pregnancy outcomes resulting from COVID-19 pandemic,0
COMMENTARY: COVID-19: Don't Forget About Plasmapheresis,0
"Pass the message: Five steps to kicking out coronavirus""",0
The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.,1
Interim Additional Guidance for Outpatient and Ambulatory Care Settings: Responding to Community Transmission of COVID-19 in the United States,0
Donating blood in the U.S. can get you a novel coronavirus test.,1
Posts on social media claim the US Centers for Disease Control and Prevention (CDC) has revised down its death toll for COVID-19.,1
Interim Infection Prevention and Control Guidance for Veterinary Clinics Treating Companion Animals During the COVID-19 Response,0
"School Decision-Making Tool for Parents, Caregivers, and Guardians",0
Herbal Remedies and COVID-19: What to Know,0
How COVID-19 Is Making Daily Life Challenging for Those with Autism,0
Ingredients Make 'Smart' Supplements Not-So-Smart,0
Knowing More About a Virus Threat May Not Satisfy You,0
CDC Warns of Listeria Outbreak,0
It’s Too Early to Know If Hydroxychloroquine Will Help Treat People with COVID-19,0
Maintaining Essential Services for Malaria in Low-Resource Countries,0
Should parents limit screen time for young children?,0
COVID-19 Can Trigger Serious Heart Injuries,0
Hong Kong Has Spike in Coronavirus Cases,0
“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval teachers will inspect the bedroom of each student currently enrolled in K-8.”,1
Symptoms,0
COVID Fears Shouldn't Keep You From the ER,0
"U.S. Could Have 700,000 Infections a Day",0
"Irregular, Long Periods Tied to Shorter Life Span",0
"Newborns Are at Low Risk of Getting COVID-19 from Mothers, Researchers Say",0
MLB to Allow Some Fans at World Series,0
How to Clean Common Surfaces During the COVID-19 Outbreak,0
Water Transmission and COVID-19,0
Microglia in the olfactory bulb have a nose for protecting the brain from infection,0
"#ThanksHealthHeros - World Health Day Message""",0
Using Antibody Tests for COVID-19,0
Will COVID-19 Become a Seasonal Illness? Here’s What We Know Right Now,0
COVID-19 False Negative Test Results If Used Too Early,0
Going to the Beach or Pool? What to Know About COVID-19 Risk,0
"WHO Timeline - COVID-19""",0
Healthcare Provider and Facility Guidance for Non-US Settings,0
Two COVID-19 vaccines show promise in hopeful clinical trials,0
This COVID-19 Spike Will Also Hit Our Mental Health with a ‘Second Wave’,0
COVID-19 Cases Increased 14% Recently in Kids,0
"Not Sure You Have COVID-19? Here Are the Symptoms for Coronavirus, Flu, and Allergies",0
FDA Expands Use of Remdesivir for COVID-19 Treatment,0
The World Health Organization and Wikimedia Foundation expand access to trusted information about COVID-19 on Wikipedia,0
COVID May Trigger 'Cytokine Storm' in Some Cases,0
Pope Francis and his two aides have been infected with the new coronavirus,1
Hospitals donÕt allow parents to visit children with COVID-19 in the hospital.,1
"WHO delivers advice and support for older people during COVID-19""",0
