title,label
How to Enjoy the Fourth of July Weekend Amid the COVID-19 Resurgence,0
CDC Expands List of Those with Higher COVID-19 Risks: What to Know,0
Feds Warn That Face Mask ‘Exemption’ Cards Are Fake,0
Experts Confident Biden’s COVID-19 Response Could Speed Recovery,0
Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19,0
New Study Details the Best Types of COVID-19 Face Masks,0
States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early,0
What to Know About Potential COVID-19 Treatment Remdesivir,0
Fighting Family Burnout During the COVID-19 Crisis,0
"Travel Bans, Quarantines Don’t Stop COVID-19 Spread, but They Can Delay It",0
Learn to Spot Fake Health News with These 5 Tips,0
People of Color Face Heightened Risks as COVID-19 Surges Again,0
"Not Sure You Have COVID-19? Here Are the Symptoms for Coronavirus, Flu, and Allergies",0
FDA Says You Should Avoid These 9 Hand Sanitizers That Contain Toxic Methanol,0
"Why COVID-19 Cases, Hospitalizations Are Spiking in California",0
More Young People Are Getting COVID-19: What That Means for the Outbreak,0
"No, Face Masks Can’t Cause CO2 Poisoning",0
People More Likely to Keep Their Distance If You’re Wearing a Mask,0
Is COVID-19 Triggering Type 1 and Type 2 Diabetes?,0
Q&A: Lenox Hill Doctor Discusses Netflix Series and Life in a New York City Emergency Room,0
Drug-Resistant Bacteria Can Be Hidden Danger for People with COVID-19,0
This Is Far from Over: Why We Need to Learn to Live with COVID-19,0
Lifelong Lung Damage: The Serious COVID-19 Complication That Can Hit People in Their 20s,0
Does Your Blood Type Increase Your Risk for Coronavirus?,0
How COVID-19 Disrupted Education and What Parents Can Do About It,0
7 Simple Ways to Protect Yourself from COVID-19 as You Leave Lockdown,0
"How This Utah Woman with Diabetes, Asthma, and MS Beat COVID-19",0
"CDC Gives Guidelines for Travel, Cookouts",0
"Home Monitoring Can Improve Health, Ease Anxiety for COVID-19 Patient",0
"Why Your Gym, Dentist, or Hairdresser May Ask You to Sign a COVID-19 Liability Waiver",0
The Consequences of Reopening Are Here: COVID-19 Cases on the Rise,0
Inexpensive Steroid May Help Treat Sickest COVID-19 Patients: What We Know,0
How COVID-19 Affects Children Compared to Adults,0
How to Reduce Your COVID-19 Risk During Your Daily Work Commute,0
COVID-19 Will Mutate — What That Means for a Vaccine,0
5 Simple Tips to Help Manage Social Anxiety After Leaving Lockdown,0
Rising COVID-19 in Arizona Could Be Warning Sign as States Reopen,0
Is a Hotel a Safe Place During COVID-19? Here’s What to Look For,0
Why 1 in 4 Parents Are Hesitant to Have Their Children Vaccinated Against the Flu,0
Is the New Coronavirus Getting Weaker? What to Know,0
Will COVID-19 Finally Get Us to Take Our Diets Seriously?,0
"Yes, You Can Get COVID-19 from Someone Without Symptoms",0
25% of People Believe Unproven Conspiracy Theories About COVID-19,0
Important Cancer Screenings Have Decreased During COVID-19,0
"If You’ve Been in a Crowd, Should You Get Tested for COVID-19?",0
False Hope? What Happens If a COVID-19 Vaccine Isn’t Ready by Early Next Year,0
Here’s Why COVID-19 Can Spread So Easily at Gyms and Fitness Classes,0
My Kid Is Immunocompromised. Here’s How Life Has Changed During COVID-19,0
"Without Lockdowns, Another 60 Million People in U.S. Could Have Developed COVID-19",0
"As Businesses Reopen, Here Are Some of the Highest Risk Places for COVID-19",0
Nearly 20% of People Have Used Bleach on Food Due to COVID-19,0
Researchers Unveil the Best Ways to Lift COVID-19 Lockdowns,0
When Can I Start Hanging Out with My Friends Again?,0
Hot Weather May Make It Harder for the Coronavirus to Survive on Surfaces,0
People with Cancer Have to Choose Between Treatment and COVID-19 Risks,0
When Should You Get a COVID-19 Test? What About an Antibody Test?,0
Why More People Are Eating Plant-Based Protein During COVID-19,0
A “Double Bubble” Strategy Can Help During COVID-19: Here’s How to Do It Properly,0
Dr. Anthony Fauci: COVID-19 Will End and We Will Get Control Over It,0
Wearing a Mask Can Help Us Get Out of Lockdown Safely,0
Why Companies Are Making Billions of COVID-19 Vaccine Doses That May Not Work,0
To the ICU and Back: How 3 People Overcame Severe Cases of COVID-19,0
COVID-19 Racing Through Nursing Homes: What Families Can Do,0
"Studies on Hydroxychloroquine Retracted, Early Evidence Lacking",0
Why Sweden’s COVID-19 Strategy Can’t Work in the U.S.,0
How Olympian Kerri Walsh Jennings Is Staying Healthy During COVID-19,0
The Places You’re Least Likely to Get COVID-19,0
Shortages of Antidepressant Zoloft Reported in the Midst of COVID-19 Pandemic,0
Lyme Disease and COVID-19 Can Share Similar Symptoms: How to Tell Them Apart,0
Why Wearing a Mask Is Important When Going to Protest,0
How One Nursing Home Stopped a COVID-19 Outbreak,0
What New CDC Guidelines Mean for Workplaces as They Reopen,0
What Life Is Like Waiting for an Organ Transplant During the COVID-19 Pandemic,0
Restaurants and COVID-19: How to Dine Safely at Your Favorite Place,0
How Reopenings Are Raising Fears Among People with Compromised Immune Systems,0
"Doctors Aren’t Just Fighting a Pandemic, but an ‘Infodemic’ as Well",0
Face Masks May Be Irritating Your Skin — How to Stop It,0
What to Know About COVID-19 Testing Right Now,0
