classifier,embedding,f1,precision,recall
LogisticRegression,w2v,0.009843613558783838,0.6391752577319587,0.00496
LogisticRegression,ft,0.6590367713495605,0.5009782291970195,0.9628
LogisticRegression,glove,0.7528230865746549,0.761857950356353,0.744
RandomForestClassifier,w2v,0.3697957072666149,0.5230431602048281,0.286
RandomForestClassifier,ft,0.22499843053550128,0.5226013414989793,0.14336
RandomForestClassifier,glove,0.74424746888631,0.7445752261990551,0.74392
SVC,w2v,0.03653966271080575,0.7597402597402597,0.01872
SVC,ft,0.4393875544318022,0.5297504798464492,0.37536
SVC,glove,0.7512318279920186,0.7650327610516712,0.73792
BERT,BERT,0.9319504374331974,0.9224198730507014,0.94168
