Model,Embedding,Preprocessing,Accuracy,Precision,Recall,F1
LogisticRegression,word2vec,,0.82768,0.8330081300813008,0.81968,0.8262903225806452
LogisticRegression,fasttext,,0.77892,0.7864125523699992,0.76584,0.7759899485267296
LogisticRegression,glove,,0.81252,0.8174209799301211,0.8048,0.8110613939613819
GaussianNB,word2vec,,0.6982,0.7290376259591383,0.63088,0.6764163485868679
GaussianNB,fasttext,,0.68188,0.7126952942277107,0.60944,0.6570356634611239
GaussianNB,glove,,0.69532,0.7233964681123616,0.63248,0.6748900934738998
RandomForestClassifier,word2vec,,0.78196,0.7832516274210399,0.77968,0.7814617327506715
RandomForestClassifier,fasttext,,0.7724,0.7712282937709096,0.77456,0.7728905563981799
RandomForestClassifier,glove,,0.76368,0.7689733964419782,0.75384,0.7613315019794781
XGBClassifier,word2vec,,0.81236,0.8133879123525163,0.81072,0.8120517648944269
XGBClassifier,fasttext,,0.80824,0.8113786972684661,0.8032,0.8072686339149312
XGBClassifier,glove,,0.79288,0.7952895628327149,0.7888,0.7920314884729697
LogisticRegression,word2vec,['stopwords'],0.85124,0.8533601609657948,0.84824,0.8507923771313942
LogisticRegression,fasttext,['stopwords'],0.81392,0.8189725247927166,0.806,0.8124344810902346
LogisticRegression,glove,['stopwords'],0.825,0.828654639592266,0.81944,0.8240215598728933
GaussianNB,word2vec,['stopwords'],0.76044,0.7774179804005112,0.72984,0.7528780689086033
GaussianNB,fasttext,['stopwords'],0.7364,0.7460859427048634,0.71672,0.731108209564224
GaussianNB,glove,['stopwords'],0.73416,0.7515901667526216,0.69952,0.7246208668268832
RandomForestClassifier,word2vec,['stopwords'],0.80304,0.8038665169260388,0.80168,0.8027717696066651
RandomForestClassifier,fasttext,['stopwords'],0.78736,0.7889782783588093,0.78456,0.78676293622142
RandomForestClassifier,glove,['stopwords'],0.78468,0.7825776224886842,0.7884,0.7854780217590563
XGBClassifier,word2vec,['stopwords'],0.83264,0.8325867861142218,0.83272,0.8326533877289817
XGBClassifier,fasttext,['stopwords'],0.82064,0.8217209825012041,0.81896,0.8203381681224458
XGBClassifier,glove,['stopwords'],0.80572,0.8033177236288594,0.80968,0.8064863141957846
LogisticRegression,word2vec,['lemmatization'],0.84464,0.850814332247557,0.83584,0.8432606941081517
LogisticRegression,fasttext,['lemmatization'],0.78748,0.7936585764484759,0.77696,0.7852205198690221
LogisticRegression,glove,['lemmatization'],0.82656,0.8327355722204108,0.81728,0.8249354005167958
GaussianNB,word2vec,['lemmatization'],0.72224,0.7495956873315364,0.66744,0.706136267456623
GaussianNB,fasttext,['lemmatization'],0.68868,0.7083664634685043,0.64144,0.6732440488685503
GaussianNB,glove,['lemmatization'],0.69636,0.7181971730820518,0.64632,0.6803654890732241
RandomForestClassifier,word2vec,['lemmatization'],0.80364,0.8063110322007909,0.79928,0.8027801213289945
RandomForestClassifier,fasttext,['lemmatization'],0.78324,0.7849038384163515,0.78032,0.7826052072050387
RandomForestClassifier,glove,['lemmatization'],0.77664,0.7760657831710043,0.77768,0.7768720530648126
XGBClassifier,word2vec,['lemmatization'],0.83096,0.8309070548712206,0.83104,0.8309735221182305
XGBClassifier,fasttext,['lemmatization'],0.8214,0.8246464646464646,0.8164,0.820502512562814
XGBClassifier,glove,['lemmatization'],0.80396,0.8026284348864994,0.80616,0.8043903412492517
LogisticRegression,word2vec,['stemming'],0.80044,0.8060966663949792,0.7912,0.7985788687472244
LogisticRegression,fasttext,['stemming'],0.76388,0.7654728370221328,0.76088,0.7631695085255767
LogisticRegression,glove,['stemming'],0.79376,0.7981971739483514,0.78632,0.7922140727008946
GaussianNB,word2vec,['stemming'],0.68552,0.7080193756727664,0.63144,0.6675405953991881
